Drink name,Type,Milk Type,Size (oz),Stay/Take away,Calories,Protein,Sugar
"NOLA (Hot + Iced, Whole Milk)",Coffee,Whole milk,12,,130,7,14
"NOLA (Hot + Iced, Whole Milk)",Coffee,Whole milk,16,,180,9,19
"NOLA (Hot + Iced, Skim Milk)",Coffee,Skim milk,12,,90,7,14
"NOLA (Hot + Iced, Skim Milk)",Coffee,Skim milk,16,,120,9,19
"NOLA (Hot + Iced, Almond Milk)",Coffee,Almond milk,12,,50,1,6
"NOLA (Hot + Iced, Almond Milk)",Coffee,Almond milk,16,,70,1,8
"NOLA (Hot + Iced, Oat Milk)",Coffee,Oat milk,12,,80,2,7
"NOLA (Hot + Iced, Oat Milk)",Coffee,Oat milk,16,,110,2,9
Caffè Latte (Whole Milk),Coffee,Whole milk,,To Stay,180,10,14
Caffè Latte (Whole Milk),Coffee,Whole milk,,To Take Away,210,13,17
Caffè Latte (Skim Milk),Coffee,Skim milk,,To Stay,110,10,14
Caffè Latte (Skim Milk),Coffee,Skim milk,,To Take Away,130,13,17
Caffè Latte (Almond Milk),Coffee,Almond milk,,To Stay,80,2,6
Caffè Latte (Almond Milk),Coffee,Almond milk,,To Take Away,100,3,7
Caffè Latte (Oat Milk),Coffee,Oat milk,,To Stay,160,3,8
Caffè Latte (Oat Milk),Coffee,Oat milk,,To Take Away,200,4,10
"Caffè Latte (Whole Milk, 16 oz)",Coffee,Whole milk,16,To Stay & To Take Away,280,17,23
"Caffè Latte (Skim Milk, 16 oz)",Coffee,Skim milk,16,To Stay & To Take Away,170,17,23
"Caffè Latte (Almond Milk, 16 oz)",Coffee,Almond milk,16,To Stay & To Take Away,130,4,9
"Caffè Latte (Oat Milk, 16 oz)",Coffee,Oat milk,16,To Stay & To Take Away,260,6,13
Iced Caffè Latte (Whole Milk),Coffee,Whole milk,,To Stay,90,5,7
Iced Caffè Latte (Whole Milk),Coffee,Whole milk,,To Take Away,110,6,8
Iced Caffè Latte (Skim Milk),Coffee,Skim milk,,To Stay,50,5,7
Iced Caffè Latte (Skim Milk),Coffee,Skim milk,,To Take Away,70,6,8
Iced Caffè Latte (Almond Milk),Coffee,Almond milk,,To Stay,45,1,3
Iced Caffè Latte (Almond Milk),Coffee,Almond milk,,To Take Away,50,1,4
Iced Caffè Latte (Oat Milk),Coffee,Oat milk,,To Stay,80,2,4
Iced Caffè Latte (Oat Milk),Coffee,Oat milk,,To Take Away,100,2,5
"Iced Caffè Latte (Whole Milk, 16 oz)",Coffee,Whole milk,16,To Stay & To Take Away,150,8,11
"Iced Caffè Latte (Skim Milk, 16 oz)",Coffee,Skim milk,16,To Stay & To Take Away,90,8,11
