drink_name,calories
BBC Americano (8Oz),0
CoffeeBlue Bottle Co ffee,0
BBC Cold Brew Can,0
BBC Cold Brew 32Oz,0
All regionsHERBAL TEA,0
BBC Iced Latte (Battenkill Whole),0
BBC Pour Over Co ffee,0
BBC Cold Brew,0
Bbc Latte (Califa  Almondmilk) -To Go,0
BBC 16Oz Iced Co ffee (Cold Brew),0
BBC Iced Latte (Oatly),0
"Coffee and Organic Chicory), Organic",0
BBC Americano (12Oz),0
BBC Latte (Battenkill Whole Milk) -For Here,10
"BBC -Muscovado Latte (Califia,  To Go)",10
Bbc -Chai (Oatly 1 Oz Iced),10
"BBC -Iced Muscovado Sugar Latte, Clover Whole",10
Bbc -Chai (*oodmylk  Allmond Original 1 Oz Iced),10
BBC -Tea -Matcha Iced Latte 12Oz Oatly,10
"BBC -Iced Muscovado Sugar Latte, Battenkill Whole",10
"Bbc -Juniper Latte (Goodmylk  Almond Milk, +ot)",10
"Bbc -Juniper Latte (Oatl y, +ot)",10
"Bbc -Juniper Latte Iced (Clove r, Whole Milk)",10
Bbc -Chai (*oodmylk  Allmond Original 1 Oz +ot),10
"Bean Specks, Espresso",10
BBC -Tea -Matcha To Go Mylk,10
"Coffee, Organic Cane Suga r, Filtered Water,",10
"Coffee, Water, Chocolate (Cacao Beans,",10
"Bbc -Juniper Latte Iced (Battenkill, Whole)",10
"Coffee, Cane Suga r, Chicory52Return to",10
BBC Latte (Clover Whole Milk) -For Here,10
BBC -Tea -Matcha Iced Latte 12Oz Battenkill Whole,10
"BBC -Muscovado Latte (2atl y, For Here)",10
BBC Mocha (Battenkill Skim) -To Go,20
BBC Mocha (Mylk  Almond Milk) -To Go,20
"BBC -Muscovado Latte (Battenkill Whole,  To Go)",20
BBC Iced Mocha (Mylk  Almond Milk),20
BBC Mocha (Clover Skim) -To Go,20
BBC Iced Mocha (Clover Whole),20
BBC Americano With Steamed Milk (Clover Skim),40
"Vitamin A Palmitate, Vitamin D3), Espresso",40
BBC Americano With Steamed Milk (Battenkill Skim),40
BBC Cappuccino (Clover Skim) - For Here,45
BBC Cappuccino (Battenkill Skim) - For Here,45
