Name of Drink,Beverage Type,Size,To Stay / To Take Away,Calories,Protein,Sugar
Sweet Latte (Whole Milk),Coffee,10 oz,To Stay (Boston),200,10,22
Sweet Latte (Whole Milk),Coffee,12 oz,To Take Away (Boston),250,13,27
Sweet Latte (Whole Milk),Coffee,16 oz,To Stay or Take Away (Boston),330,17,35
Sweet Latte (Skim Milk),Coffee,10 oz,To Stay (Boston),130,9,22
Sweet Latte (Skim Milk),Coffee,12 oz,To Take Away (Boston),160,11,27
Sweet Latte (Skim Milk),Coffee,16 oz,To Stay or Take Away (Boston),220,13,37
Sweet Latte (Almond Milk),Coffee,10 oz,To Stay (Boston),110,2,14
Sweet Latte (Almond Milk),Coffee,12 oz,To Take Away (Boston),140,3,19
Sweet Latte (Almond Milk),Coffee,16 oz,To Stay or Take Away (Boston),180,4,23
Sweet Latte (Oat Milk),Coffee,10 oz,To Stay (Boston),190,4,19
Sweet Latte (Oat Milk),Coffee,12 oz,To Take Away (Boston),230,5,24
Sweet Latte (Oat Milk),Coffee,16 oz,To Stay or Take Away (Boston),310,5,25
Iced Sweet Latte (Whole Milk),Coffee,10 oz,To Stay (Boston),140,8,16
Iced Sweet Latte (Whole Milk),Coffee,12 oz,To Take Away (Boston),170,10,19
Iced Sweet Latte (Whole Milk),Coffee,16 oz,To Stay or Take Away (Boston),230,10,25
Iced Sweet Latte (Skim Milk),Coffee,10 oz,To Stay (Boston),100,7,17
Iced Sweet Latte (Skim Milk),Coffee,12 oz,To Take Away (Boston),120,9,20
Iced Sweet Latte (Skim Milk),Coffee,16 oz,To Stay or Take Away (Boston),150,10,25
Iced Sweet Latte (Almond Milk),Coffee,10 oz,To Stay (Boston),80,2,11
Iced Sweet Latte (Almond Milk),Coffee,12 oz,To Take Away (Boston),100,2,14
Iced Sweet Latte (Almond Milk),Coffee,16 oz,To Stay or Take Away (Boston),130,2,16
Iced Sweet Latte (Oat Milk),Coffee,10 oz,To Stay (Boston),130,2,14
Iced Sweet Latte (Oat Milk),Coffee,12 oz,To Take Away (Boston),160,3,17
Iced Sweet Latte (Oat Milk),Coffee,16 oz,To Stay or Take Away (Boston),210,5,24
Caffé Mocha (Whole Milk),Coffee,10 oz,To Stay (Boston),330,10,17
Caffé Mocha (Whole Milk),Coffee,12 oz,To Take Away (Boston),390,12,21
Caffé Mocha (Whole Milk),Coffee,16 oz,To Stay or Take Away (Boston),520,14,25
Caffé Mocha (Skim Milk),Coffee,10 oz,To Stay (Boston),270,11,18
Caffé Mocha (Skim Milk),Coffee,12 oz,To Take Away (Boston),320,13,22
Caffé Mocha (Skim Milk),Coffee,16 oz,To Stay or Take Away (Boston),430,16,30
Caffé Mocha (Almond Milk),Coffee,10 oz,To Stay (Boston),250,6,16
Caffé Mocha (Almond Milk),Coffee,12 oz,To Take Away (Boston),300,7,20
Caffé Mocha (Almond Milk),Coffee,16 oz,To Stay or Take Away (Boston),400,9,25
Caffé Mocha (Oat Milk),Coffee,10 oz,To Stay (Boston),320,6,24
Caffé Mocha (Oat Milk),Coffee,12 oz,To Take Away (Boston),380,8,29
Caffé Mocha (Oat Milk),Coffee,16 oz,To Stay or Take Away (Boston),510,10,39
Iced Caffé Mocha (Whole Milk),Coffee,10 oz,To Stay (Boston),260,9,17
Iced Caffé Mocha (Whole Milk),Coffee,12 oz,To Take Away (Boston),310,11,20
Iced Caffé Mocha (Whole Milk),Coffee,16 oz,To Stay or Take Away (Boston),420,14,26
Iced Caffé Mocha (Skim Milk),Coffee,10 oz,To Stay (Boston),230,11,19
Iced Caffé Mocha (Skim Milk),Coffee,12 oz,To Take Away (Boston),270,13,23
Iced Caffé Mocha (Skim Milk),Coffee,16 oz,To Stay or Take Away (Boston),360,16,31
Iced Caffé Mocha (Almond Milk),Coffee,10 oz,To Stay (Boston),210,5,13
Iced Caffé Mocha (Almond Milk),Coffee,12 oz,To Take Away (Boston),260,6,16
Iced Caffé Mocha (Almond Milk),Coffee,16 oz,To Stay or Take Away (Boston),340,8,21
Iced Caffé Mocha (Oat Milk),Coffee,10 oz,To Stay (Boston),250,6,20
Iced Caffé Mocha (Oat Milk),Coffee,12 oz,To Take Away (Boston),300,8,25
Iced Caffé Mocha (Oat Milk),Coffee,16 oz,To Stay or Take Away (Boston),410,10,32
Cappuccino (Whole Milk),Coffee,10 oz,To Stay (Boston),80,5,5
Cappuccino (Whole Milk),Coffee,12 oz,To Take Away (Boston),130,8,7
Cappuccino (Skim Milk),Coffee,10 oz,To Stay (Boston),45,5,3
Cappuccino (Skim Milk),Coffee,12 oz,To Take Away (Boston),80,7,5
Cappuccino (Almond Milk),Coffee,10 oz,To Stay (Boston),50,2,3
Cappuccino (Almond Milk),Coffee,12 oz,To Take Away (Boston),90,3,5
Cappuccino (Oat Milk),Coffee,10 oz,To Stay (Boston),70,3,4
Cappuccino (Oat Milk),Coffee,12 oz,To Take Away (Boston),120,5,7
Gibraltar (Whole Milk),Coffee,120 g,To Stay (Boston),70,4,5
